family_id,comparison_id,metric_id,dataset_id,comparator_id,identity_token,analysis_pair_count,identity_effect,identity_relative_effect,seed_2026080447,seed_2026080448,seed_2026080449,seed_2026080450,seed_2026080451,identity_effect_8bit_rgb,identity_relative_effect_percent
F1-MAE-ATTRIBUTION,F1-MAE-ATTRIBUTION::D1::full_vs_condition0,hidden_uv_mae,D1,condition0,D1-I001,8,0.0018835157345704484,0.013792688147099146,0.0018835157345704484,-0.0065221836081116175,0.008483544125941475,0.009401352422601955,-0.0007754388998012784,0.48029651231546433,1.3792688147099146
F1-MAE-ATTRIBUTION,F1-MAE-ATTRIBUTION::D1::full_vs_condition0,hidden_uv_mae,D1,condition0,D1-I002,8,-0.00032397770822079064,-0.002118073256849079,-0.00032397770822079064,-0.005913818634494597,-0.00010244762783663541,0.0021302157510367653,-0.007829821010182828,-0.08261431559630161,-0.21180732568490793
F1-MAE-ATTRIBUTION,F1-MAE-ATTRIBUTION::D1::full_vs_condition0,hidden_uv_mae,D1,condition0,D1-I003,8,0.001746241422662942,0.008066384475505404,-0.0015081269123281005,0.001746241422662942,0.013656158850666691,-0.005549207081397389,0.00684753353758745,0.4452915627790502,0.8066384475505404
F1-MAE-ATTRIBUTION,F1-MAE-ATTRIBUTION::D1::full_vs_condition0,hidden_uv_mae,D1,condition0,D1-I004,8,-0.0028427194747509335,-0.022044008606339108,-0.0028427194747509335,0.006582188894638109,-0.0069278030561533074,-0.008736825948681234,0.0024254015297938067,-0.7248934660614881,-2.204400860633911
F1-MAE-ATTRIBUTION,F1-MAE-ATTRIBUTION::D1::full_vs_condition0,hidden_uv_mae,D1,condition0,D1-I005,8,-0.0022731103983151812,-0.0184729254174925,-0.0022731103983151812,0.004020798307073928,-0.009476045288777338,-0.0028801496746553717,0.006665475606918339,-0.5796431515703713,-1.84729254174925
F1-MAE-ATTRIBUTION,F1-MAE-ATTRIBUTION::D1::full_vs_condition0,hidden_uv_mae,D1,condition0,D1-I006,8,0.0011553207816450417,0.007046305487755796,-0.0017507655524133386,0.005415063097867823,0.0030870391784516837,-0.0070694596326669745,0.0011553207816450417,0.29460679931948563,0.7046305487755796
F1-MAE-ATTRIBUTION,F1-MAE-ATTRIBUTION::D1::full_vs_condition0,hidden_uv_mae,D1,condition0,D1-I007,8,-0.0035512009538756634,-0.02556485068200236,0.0018021805154297132,-0.0038422193450898673,-0.0035512009538756634,-0.009123618206609799,-0.001278371394083308,-0.9055562432382942,-2.556485068200236
F1-MAE-ATTRIBUTION,F1-MAE-ATTRIBUTION::D1::full_vs_condition0,hidden_uv_mae,D1,condition0,D1-I008,8,0.00490840908252832,0.029599620097944705,0.003911935358462348,0.0027532274922262706,0.00490840908252832,0.00838083545407707,0.008614211236564528,1.2516443160447217,2.9599620097944705
F1-MAE-ATTRIBUTION,F1-MAE-ATTRIBUTION::D1::full_vs_condition0,hidden_uv_mae,D1,condition0,D1-I009,8,0.0022957936834348686,0.013846134828613367,0.003313580969130092,-0.004202512488741511,0.005499139284005486,0.0022957936834348686,-0.006261639030459537,0.5854273892758914,1.3846134828613366
F1-MAE-ATTRIBUTION,F1-MAE-ATTRIBUTION::D1::full_vs_condition0,hidden_uv_mae,D1,condition0,D1-I010,8,0.0002390149473584513,0.0017704297130305556,-0.014943406055758245,0.002199047695224471,-0.004625771452800902,0.0002390149473584513,0.005376341547407862,0.06094881157640508,0.17704297130305557
F1-MAE-ATTRIBUTION,F1-MAE-ATTRIBUTION::D1::full_vs_condition0,hidden_uv_mae,D1,condition0,D1-I011,6,-0.0035722049747657497,-0.018209392559308913,-0.007498371169950044,0.0018797894770341411,-0.005086922086822737,0.002325045421493782,-0.0035722049747657497,-0.9109122685652662,-1.8209392559308912
F1-MAE-ATTRIBUTION,F1-MAE-ATTRIBUTION::D1::full_vs_condition0,hidden_uv_mae,D1,condition0,D1-I012,4,0.005691434963086189,0.032542479156756766,-0.00040543109514351583,0.0006834538080991576,0.005691434963086189,0.00803500006854277,0.006427553815372064,1.4513159155869784,3.2542479156756765
F1-MAE-ATTRIBUTION,F1-MAE-ATTRIBUTION::D1::full_vs_condition0,hidden_uv_mae,D1,condition0,D1-I013,4,0.010126564447723682,0.04864088110356188,0.010126564447723682,0.013400091682088833,-0.006280811061748312,0.028001323657459914,-0.018697681315402448,2.582273934169539,4.864088110356188
F1-MAE-ATTRIBUTION,F1-MAE-ATTRIBUTION::D1::full_vs_condition0,hidden_uv_mae,D1,condition0,D1-I014,8,0.002065108587094723,0.019563979552775997,0.0010184777154845087,0.002556710345932557,0.003693289602873885,0.002065108587094723,-0.0032534060269053602,0.5266026897091544,1.9563979552775996
F1-MAE-ATTRIBUTION,F1-MAE-ATTRIBUTION::D1::full_vs_condition0,hidden_uv_mae,D1,condition0,D1-I015,8,0.001261756050648169,0.006487405046760233,0.0063107918138419344,0.001261756050648169,-0.010011618266418096,-0.0006409724176462406,0.006009211767797645,0.3217477929152831,0.6487405046760233
F1-MAE-ATTRIBUTION,F1-MAE-ATTRIBUTION::D1::full_vs_condition0,hidden_uv_mae,D1,condition0,D1-I016,8,0.0035227297031017596,0.02131941411445725,0.0035227297031017596,0.004068707289989176,-0.006395459500171702,0.004356173583955486,0.002970659678559723,0.8982960742909487,2.131941411445725
F1-MAE-ATTRIBUTION,F1-MAE-ATTRIBUTION::D1::full_vs_condition0,hidden_uv_mae,D1,condition0,D1-I017,6,-0.0021311055277254687,-0.009437154588311108,0.010693088605930073,-0.00254806984145399,-0.0021311055277254687,-0.00650543156813406,0.00654337244328633,-0.5434319095699945,-0.9437154588311107
F1-MAE-ATTRIBUTION,F1-MAE-ATTRIBUTION::D1::full_vs_condition0,hidden_uv_mae,D1,condition0,D1-I018,8,0.002360554734865815,0.01449833178035771,0.00043611057107821594,0.004863073440909818,0.007549035903953366,0.002360554734865815,0.00021504338596946282,0.6019414573907828,1.449833178035771
F1-MAE-ATTRIBUTION,F1-MAE-ATTRIBUTION::D1::full_vs_condition0,hidden_uv_mae,D1,condition0,D1-I019,8,0.005582698078749178,0.038428752257448365,0.010236900366045715,0.005582698078749178,0.0024917385240016965,0.00610535122192922,0.0014223533604046795,1.4235880100810403,3.8428752257448364
F1-MAE-ATTRIBUTION,F1-MAE-ATTRIBUTION::D1::full_vs_condition0,hidden_uv_mae,D1,condition0,D1-I020,8,-0.003234142794225514,-0.024993126810041243,-0.009726589201086787,-0.003234142794225514,0.0023065963428389596,0.002413115209827732,-0.003609042688086213,-0.8247064125275061,-2.4993126810041244
F1-MAE-ATTRIBUTION,F1-MAE-ATTRIBUTION::D1::full_vs_b_lite_ft,hidden_uv_mae,D1,b_lite_ft,D1-I001,8,-0.04072970203736034,-0.454340873165869,-0.039339618583217384,-0.03473844572982312,-0.049785547375771594,-0.04760926601935237,-0.04072970203736034,-10.386074019526886,-45.434087316586904
F1-MAE-ATTRIBUTION,F1-MAE-ATTRIBUTION::D1::full_vs_b_lite_ft,hidden_uv_mae,D1,b_lite_ft,D1-I002,8,-0.05368405418040495,-0.5442659242122015,-0.05877551498343096,-0.051440272707906035,-0.05368405418040495,-0.05315865114161913,-0.055783755704760546,-13.689433816003262,-54.42659242122016
F1-MAE-ATTRIBUTION,F1-MAE-ATTRIBUTION::D1::full_vs_b_lite_ft,hidden_uv_mae,D1,b_lite_ft,D1-I003,8,-0.007561432572562005,-0.034183078822112835,-0.007561432572562005,-0.009924666657340986,-0.007059981124366843,-0.013896877345229902,-0.002072563105159339,-1.9281653060033113,-3.4183078822112836
F1-MAE-ATTRIBUTION,F1-MAE-ATTRIBUTION::D1::full_vs_b_lite_ft,hidden_uv_mae,D1,b_lite_ft,D1-I004,8,-0.039477003504353105,-0.4855097196260115,-0.0449080719015452,-0.039477003504353105,-0.03675573920444831,-0.045448839937768916,-0.033084612802170954,-10.06663589361004,-48.55097196260115
F1-MAE-ATTRIBUTION,F1-MAE-ATTRIBUTION::D1::full_vs_b_lite_ft,hidden_uv_mae,D1,b_lite_ft,D1-I005,8,-0.0499236684053814,-0.687555172687052,-0.05287842650930371,-0.0499236684053814,-0.05219539590174471,-0.04042242663301653,-0.04233089002829039,-12.730535443372258,-68.7555172687052
F1-MAE-ATTRIBUTION,F1-MAE-ATTRIBUTION::D1::full_vs_b_lite_ft,hidden_uv_mae,D1,b_lite_ft,D1-I006,8,-0.03495743855061555,-0.2822842058663378,-0.03495743855061555,-0.025786425799122846,-0.04633714221933226,-0.03698902437237918,-0.028479662284885764,-8.914146830406965,-28.228420586633778
F1-MAE-ATTRIBUTION,F1-MAE-ATTRIBUTION::D1::full_vs_b_lite_ft,hidden_uv_mae,D1,b_lite_ft,D1-I007,8,-0.01741134836155106,-0.13816466297420996,-0.01741134836155106,-0.03085846221154768,-0.01518002820957421,-0.02491743719692758,-0.01674899499778368,-4.43989383219552,-13.816466297420996
F1-MAE-ATTRIBUTION,F1-MAE-ATTRIBUTION::D1::full_vs_b_lite_ft,hidden_uv_mae,D1,b_lite_ft,D1-I008,8,-0.04680745270284597,-0.39182285431069847,-0.04680745270284597,-0.040854043473939367,-0.051059169590805906,-0.04959581267887912,-0.037743724065285894,-11.935900439225723,-39.18228543106984
F1-MAE-ATTRIBUTION,F1-MAE-ATTRIBUTION::D1::full_vs_b_lite_ft,hidden_uv_mae,D1,b_lite_ft,D1-I009,8,0.0012189273499424308,0.007565635230747527,0.0007072831331579738,0.007635177490041389,-0.005226036346463292,0.0012189273499424308,0.008777552255555793,0.31082647423531984,0.7565635230747527
F1-MAE-ATTRIBUTION,F1-MAE-ATTRIBUTION::D1::full_vs_b_lite_ft,hidden_uv_mae,D1,b_lite_ft,D1-I010,8,-0.03429205229504721,-0.29233483018146234,-0.039179026401740494,-0.03067846904976783,-0.03258101215387135,-0.036427799486557395,-0.03429205229504721,-8.74447333523704,-29.233483018146234
F1-MAE-ATTRIBUTION,F1-MAE-ATTRIBUTION::D1::full_vs_b_lite_ft,hidden_uv_mae,D1,b_lite_ft,D1-I011,6,-0.03950154733537558,-0.24207717535060663,-0.03950154733537558,-0.018954180425856823,-0.04136892679160151,-0.027767883309039065,-0.04739738926216207,-10.072894570520774,-24.207717535060663
F1-MAE-ATTRIBUTION,F1-MAE-ATTRIBUTION::D1::full_vs_b_lite_ft,hidden_uv_mae,D1,b_lite_ft,D1-I012,4,-0.013922167327785576,-0.08123331668790014,0.0003446314203324752,-0.024175849426026033,-0.013922167327785576,-0.017557405954906152,-0.00499726193195793,-3.550152668585322,-8.123331668790014
F1-MAE-ATTRIBUTION,F1-MAE-ATTRIBUTION::D1::full_vs_b_lite_ft,hidden_uv_mae,D1,b_lite_ft,D1-I013,4,-0.02536538209510493,-0.14698083246386837,-0.031856522704355225,-0.014235744562773558,-0.02466904040535582,-0.03173456041752791,-0.02536538209510493,-6.468172434251757,-14.698083246386837
F1-MAE-ATTRIBUTION,F1-MAE-ATTRIBUTION::D1::full_vs_b_lite_ft,hidden_uv_mae,D1,b_lite_ft,D1-I014,8,-0.05695646299828144,-1.032337227645275,-0.05872157823669168,-0.05695646299828144,-0.049270655047674035,-0.04900504763965019,-0.06018528655330549,-14.523898064561768,-103.23372276452749
F1-MAE-ATTRIBUTION,F1-MAE-ATTRIBUTION::D1::full_vs_b_lite_ft,hidden_uv_mae,D1,b_lite_ft,D1-I015,8,-0.049193693504602926,-0.3417390651501545,-0.04973773277582384,-0.04671379869948031,-0.042831696171551845,-0.04975738521173022,-0.049193693504602926,-12.544391843673745,-34.17390651501545
F1-MAE-ATTRIBUTION,F1-MAE-ATTRIBUTION::D1::full_vs_b_lite_ft,hidden_uv_mae,D1,b_lite_ft,D1-I016,8,-0.05029972083142677,-0.4544764742933058,-0.053534282483196916,-0.04946366205819154,-0.053358006980754664,-0.04178494444856072,-0.05029972083142677,-12.826428812013825,-45.44764742933058
F1-MAE-ATTRIBUTION,F1-MAE-ATTRIBUTION::D1::full_vs_b_lite_ft,hidden_uv_mae,D1,b_lite_ft,D1-I017,6,-0.024317505250694926,-0.11342027597493654,-0.018709483282965803,-0.01675089509273417,-0.028301139337697415,-0.032016059661265264,-0.024317505250694926,-6.200963838927207,-11.342027597493654
F1-MAE-ATTRIBUTION,F1-MAE-ATTRIBUTION::D1::full_vs_b_lite_ft,hidden_uv_mae,D1,b_lite_ft,D1-I018,8,-0.0328335494408052,-0.22334761952140747,-0.01576441158786481,-0.025326827111698327,-0.0328335494408052,-0.042327033294722385,-0.03660618307002528,-8.372555107405326,-22.334761952140745
F1-MAE-ATTRIBUTION,F1-MAE-ATTRIBUTION::D1::full_vs_b_lite_ft,hidden_uv_mae,D1,b_lite_ft,D1-I019,8,-0.02019836843487105,-0.19172936040568092,-0.02019836843487105,-0.017806458851331385,-0.017751169188150832,-0.023670750855554798,-0.023996302757366278,-5.150583950892118,-19.172936040568093
F1-MAE-ATTRIBUTION,F1-MAE-ATTRIBUTION::D1::full_vs_b_lite_ft,hidden_uv_mae,D1,b_lite_ft,D1-I020,8,-0.03043793454160995,-0.3288258087166355,-0.03043793454160995,-0.04834237523475342,-0.029047510728231356,-0.02088183479604598,-0.030810060156014306,-7.761673308110537,-32.88258087166355
F1-MAE-ATTRIBUTION,F1-MAE-ATTRIBUTION::D2::full_vs_condition0,hidden_uv_mae,D2,condition0,D2-001,12,0.004130968624829423,0.020071281472108668,0.0013193488121032715,-0.0011649280308912852,0.009704383695998825,0.004130968624829423,0.006410915802957273,1.0533969993315029,2.007128147210867
F1-MAE-ATTRIBUTION,F1-MAE-ATTRIBUTION::D2::full_vs_condition0,hidden_uv_mae,D2,condition0,D2-002,12,-0.00209112244795074,-0.009766194095781798,-0.00209112244795074,-0.008140462955312781,0.016821953182670005,0.01045345962382685,-0.009872303021628864,-0.5332362242274387,-0.9766194095781798
F1-MAE-ATTRIBUTION,F1-MAE-ATTRIBUTION::D2::full_vs_condition0,hidden_uv_mae,D2,condition0,D2-003,12,-0.008690996202303472,-0.032846993037601475,-0.02168495598347764,-0.008690996202303472,-0.017976993782069586,0.005854116522130512,-5.906174580255774e-05,-2.2162040315873854,-3.2846993037601475
F1-MAE-ATTRIBUTION,F1-MAE-ATTRIBUTION::D2::full_vs_condition0,hidden_uv_mae,D2,condition0,D2-004,12,-0.001973163295123287,-0.007629662206853907,-0.023746601281338486,2.4884117622969715e-05,-0.003921271735352699,-0.001973163295123287,-0.0002641770774696739,-0.5031566402564381,-0.7629662206853907
F1-MAE-ATTRIBUTION,F1-MAE-ATTRIBUTION::D2::full_vs_condition0,hidden_uv_mae,D2,condition0,D2-005,12,0.0014436290012121433,0.0062866201673734195,-0.008271368158563233,0.0039788301153395045,0.0014436290012121433,-0.010244610183510222,0.0027438003579381143,0.36812539530909655,0.6286620167373419
F1-MAE-ATTRIBUTION,F1-MAE-ATTRIBUTION::D2::full_vs_condition0,hidden_uv_mae,D2,condition0,D2-006,12,0.007885011857380726,0.0369469388135694,-0.022387499454753865,0.01238196602352959,0.007885011857380726,0.011837212618259943,-0.00970741514449286,2.010678023632085,3.69469388135694
F1-MAE-ATTRIBUTION,F1-MAE-ATTRIBUTION::D2::full_vs_condition0,hidden_uv_mae,D2,condition0,D2-007,12,0.007767200363837087,0.04818553868448202,0.0017949908419891691,0.01065383499264027,0.007767200363837087,0.011615739427132087,0.00020277911565121098,1.9806360927784572,4.818553868448202
F1-MAE-ATTRIBUTION,F1-MAE-ATTRIBUTION::D2::full_vs_condition0,hidden_uv_mae,D2,condition0,D2-008,12,-0.0025735727127860347,-0.0161468256480897,0.024850489359555965,-0.0025735727127860347,0.017058232168918885,-0.009875956575806213,-0.0038595258639278762,-0.6562610417604389,-1.61468256480897
