family_id,comparison_id,metric_id,dataset_id,comparator_id,seed,median_identity_effect
F3-LPIPS,F3-LPIPS::D1::full_vs_condition0,lpips_alex_v0_1,D1,condition0,2026080451,2.4393200874328613e-05
F3-LPIPS,F3-LPIPS::D1::full_vs_b_lite_ft,lpips_alex_v0_1,D1,b_lite_ft,2026080447,-0.0038006678223609924
F3-LPIPS,F3-LPIPS::D1::full_vs_b_lite_ft,lpips_alex_v0_1,D1,b_lite_ft,2026080448,-0.003946078009903431
F3-LPIPS,F3-LPIPS::D1::full_vs_b_lite_ft,lpips_alex_v0_1,D1,b_lite_ft,2026080449,-0.0026450566947460175
F3-LPIPS,F3-LPIPS::D1::full_vs_b_lite_ft,lpips_alex_v0_1,D1,b_lite_ft,2026080450,-0.002944542095065117
F3-LPIPS,F3-LPIPS::D1::full_vs_b_lite_ft,lpips_alex_v0_1,D1,b_lite_ft,2026080451,-0.003402421250939369
F3-LPIPS,F3-LPIPS::D1::full_vs_freeuv_conserved,lpips_alex_v0_1,D1,freeuv_conserved,2026080447,-0.0038979612290859222
F3-LPIPS,F3-LPIPS::D1::full_vs_freeuv_conserved,lpips_alex_v0_1,D1,freeuv_conserved,2026080448,-0.0044489167630672455
F3-LPIPS,F3-LPIPS::D1::full_vs_freeuv_conserved,lpips_alex_v0_1,D1,freeuv_conserved,2026080449,-0.0041681984439492226
F3-LPIPS,F3-LPIPS::D1::full_vs_freeuv_conserved,lpips_alex_v0_1,D1,freeuv_conserved,2026080450,-0.003681410104036331
F3-LPIPS,F3-LPIPS::D1::full_vs_freeuv_conserved,lpips_alex_v0_1,D1,freeuv_conserved,2026080451,-0.004589971154928207
F3-LPIPS,F3-LPIPS::D2::full_vs_condition0,lpips_alex_v0_1,D2,condition0,2026080447,9.454786777496338e-06
F3-LPIPS,F3-LPIPS::D2::full_vs_condition0,lpips_alex_v0_1,D2,condition0,2026080448,-0.00012510456144809723
F3-LPIPS,F3-LPIPS::D2::full_vs_condition0,lpips_alex_v0_1,D2,condition0,2026080449,6.11916184425354e-05
F3-LPIPS,F3-LPIPS::D2::full_vs_condition0,lpips_alex_v0_1,D2,condition0,2026080450,-4.344247281551361e-05
F3-LPIPS,F3-LPIPS::D2::full_vs_condition0,lpips_alex_v0_1,D2,condition0,2026080451,-6.626732647418976e-05
F3-LPIPS,F3-LPIPS::D2::full_vs_b_lite_ft,lpips_alex_v0_1,D2,b_lite_ft,2026080447,1.6955658793449402e-05
F3-LPIPS,F3-LPIPS::D2::full_vs_b_lite_ft,lpips_alex_v0_1,D2,b_lite_ft,2026080448,-7.931143045425415e-05
F3-LPIPS,F3-LPIPS::D2::full_vs_b_lite_ft,lpips_alex_v0_1,D2,b_lite_ft,2026080449,0.00011175684630870819
F3-LPIPS,F3-LPIPS::D2::full_vs_b_lite_ft,lpips_alex_v0_1,D2,b_lite_ft,2026080450,9.569525718688965e-05
F3-LPIPS,F3-LPIPS::D2::full_vs_b_lite_ft,lpips_alex_v0_1,D2,b_lite_ft,2026080451,-1.1377036571502686e-05
F3-LPIPS,F3-LPIPS::D2::full_vs_freeuv_conserved,lpips_alex_v0_1,D2,freeuv_conserved,2026080447,-0.0009692329913377762
F3-LPIPS,F3-LPIPS::D2::full_vs_freeuv_conserved,lpips_alex_v0_1,D2,freeuv_conserved,2026080448,-0.001100495457649231
F3-LPIPS,F3-LPIPS::D2::full_vs_freeuv_conserved,lpips_alex_v0_1,D2,freeuv_conserved,2026080449,-0.0008116867393255234
F3-LPIPS,F3-LPIPS::D2::full_vs_freeuv_conserved,lpips_alex_v0_1,D2,freeuv_conserved,2026080450,-0.0008789077401161194
F3-LPIPS,F3-LPIPS::D2::full_vs_freeuv_conserved,lpips_alex_v0_1,D2,freeuv_conserved,2026080451,-0.0009752567857503891
F4-SFACE,F4-SFACE::D1::full_vs_condition0,sface_source_to_render_cosine,D1,condition0,2026080447,-0.0001717348924915596
F4-SFACE,F4-SFACE::D1::full_vs_condition0,sface_source_to_render_cosine,D1,condition0,2026080448,-2.307398325374077e-05
F4-SFACE,F4-SFACE::D1::full_vs_condition0,sface_source_to_render_cosine,D1,condition0,2026080449,0.0003000675000761066
