direction_index,direction,source_view,target_view,comparison_id,comparator_id,comparator_label,metric_id,effect_definition,positive_favors,pair_count,identity_count,median_identity_effect,median_identity_effect_rgb8,ci95_identity_bootstrap_low,ci95_identity_bootstrap_high,positive_identity_count,zero_identity_count,negative_identity_count,bootstrap_resamples,bootstrap_seed,analysis_status,seed_2026080447_median_identity_effect,seed_2026080448_median_identity_effect,seed_2026080449_median_identity_effect,seed_2026080450_median_identity_effect,seed_2026080451_median_identity_effect
4,V02→V03,V02,V03,full_vs_freeuv_conserved,freeuv_conserved,FreeUV（已观测纹理保持）,hidden_uv_mae,comparator_minus_full,FrugalFace3D-Lite,100,100,0.02807004940022287,7.157862597056831,0.015091177076101317,0.04865757018209449,69,0,31,10000,2026082343,EXPLORATORY_NO_SIGNIFICANCE_TEST,0.02743538664998832,0.023215362204076953,0.036148390489128934,0.030700931064551892,0.026513273902733114
5,V02→V04,V02,V04,full_vs_condition0,condition0,NoCond,hidden_uv_mae,comparator_minus_full,FrugalFace3D-Lite,100,100,0.00011870190501210576,0.030268985778086968,-0.001764894525210059,0.004383735524283505,51,0,49,10000,2026082351,EXPLORATORY_NO_SIGNIFICANCE_TEST,-0.007411956528301095,0.0026587969617370907,0.006304202146000332,0.0026514603129399184,-0.001388551345954843
5,V02→V04,V02,V04,full_vs_b_lite_ft,b_lite_ft,B-lite 同任务微调,hidden_uv_mae,comparator_minus_full,FrugalFace3D-Lite,100,100,0.03059655908746496,7.802122567303565,0.013740889107187626,0.04461861015297475,65,0,35,10000,2026082352,EXPLORATORY_NO_SIGNIFICANCE_TEST,0.001340797822922457,0.033230327896763764,0.0346926546262947,0.03325719017562741,0.027975114343303548
5,V02→V04,V02,V04,full_vs_freeuv_conserved,freeuv_conserved,FreeUV（已观测纹理保持）,hidden_uv_mae,comparator_minus_full,FrugalFace3D-Lite,100,100,0.06454882714332956,16.459950921549037,0.050610507745571943,0.08440201139698425,83,0,17,10000,2026082353,EXPLORATORY_NO_SIGNIFICANCE_TEST,0.0583674708437739,0.06518890025715034,0.07454939350254493,0.0681758839651824,0.07254749751000693
6,V03→V01,V03,V01,full_vs_condition0,condition0,NoCond,hidden_uv_mae,comparator_minus_full,FrugalFace3D-Lite,100,100,-0.0008340972334102831,-0.2126947945196222,-0.003017299857578759,0.00244110853023206,45,0,55,10000,2026082361,EXPLORATORY_NO_SIGNIFICANCE_TEST,-0.0031600812809508966,0.0025012510337142496,0.0049030810413468115,-0.0009562268327825973,5.213862173572559e-06
6,V03→V01,V03,V01,full_vs_b_lite_ft,b_lite_ft,B-lite 同任务微调,hidden_uv_mae,comparator_minus_full,FrugalFace3D-Lite,100,100,0.013338033730785057,3.4011986013501896,0.004983099406225655,0.036837171801986784,65,0,35,10000,2026082362,EXPLORATORY_NO_SIGNIFICANCE_TEST,0.014149143670996026,0.012400263051191962,0.026029320168567613,0.02002766753124076,0.016182421093126634
6,V03→V01,V03,V01,full_vs_freeuv_conserved,freeuv_conserved,FreeUV（已观测纹理保持）,hidden_uv_mae,comparator_minus_full,FrugalFace3D-Lite,100,100,0.05142613710023655,13.113664960560321,0.04013640470342872,0.08323851476113003,74,0,26,10000,2026082363,EXPLORATORY_NO_SIGNIFICANCE_TEST,0.05122605237227522,0.05730382990764661,0.06741900617877643,0.05343001363635587,0.05180960471550816
7,V03→V02,V03,V02,full_vs_condition0,condition0,NoCond,hidden_uv_mae,comparator_minus_full,FrugalFace3D-Lite,100,100,-4.918116916072246e-05,-0.012541198135984227,-0.004511989005958242,0.003715547222963391,50,0,50,10000,2026082371,EXPLORATORY_NO_SIGNIFICANCE_TEST,-0.0016970176666675635,0.005971674489295045,0.00116412315559003,-4.821314165989049e-05,0.0006222397889178444
7,V03→V02,V03,V02,full_vs_b_lite_ft,b_lite_ft,B-lite 同任务微调,hidden_uv_mae,comparator_minus_full,FrugalFace3D-Lite,100,100,0.0005839311811054043,0.14890245118187811,-0.01277372909859377,0.02187772509124543,50,0,50,10000,2026082372,EXPLORATORY_NO_SIGNIFICANCE_TEST,-0.004182998028792316,-0.0034081277690353184,0.0022090548800390852,-0.0004535676863035576,0.004021239102310156
7,V03→V02,V03,V02,full_vs_freeuv_conserved,freeuv_conserved,FreeUV（已观测纹理保持）,hidden_uv_mae,comparator_minus_full,FrugalFace3D-Lite,100,100,0.00939295860965865,2.3952044454629555,-0.00431952407595769,0.016614403661525418,56,0,44,10000,2026082373,EXPLORATORY_NO_SIGNIFICANCE_TEST,0.009345654342131027,0.00875555645851861,0.005983792010965383,0.004837248014270247,0.006521294972096997
