direction_index,direction,source_view,target_view,comparison_id,comparator_id,comparator_label,identity_token,identity_effect,identity_effect_rgb8,seed_2026080447_effect,seed_2026080448_effect,seed_2026080449_effect,seed_2026080450_effect,seed_2026080451_effect
0,V01→V02,V01,V02,full_vs_condition0,condition0,NoCond,D2-001,0.04157753256352048,10.602270803697722,0.0959226886431376,0.017917764899523403,0.04157753256352048,0.04490450532108109,0.02087444455727283
0,V01→V02,V01,V02,full_vs_condition0,condition0,NoCond,D2-002,0.013133168004561158,3.348957841163095,0.022776771066845336,-0.027076564189316532,0.027812387200369326,0.013133168004561158,-0.02280490445917932
0,V01→V02,V01,V02,full_vs_condition0,condition0,NoCond,D2-003,-0.02026461073379407,-5.1674757371174875,-0.03889453565252236,-0.0020944543354127487,-0.02026461073379407,-0.010792063442112365,-0.021296343798267434
0,V01→V02,V01,V02,full_vs_condition0,condition0,NoCond,D2-004,-0.007530538613597593,-1.9202873464673862,0.021998012314240117,-0.009509391089280478,-0.007530538613597593,-0.003619510183731689,-0.025146456062793754
0,V01→V02,V01,V02,full_vs_condition0,condition0,NoCond,D2-005,0.0032302695644428336,0.8237187389329226,0.011238888564358757,-0.0022085563964154287,-0.009628692350114681,0.01913748199800891,0.0032302695644428336
0,V01→V02,V01,V02,full_vs_condition0,condition0,NoCond,D2-006,0.007844759388960926,2.000413644185036,0.024944903336680008,0.007844759388960926,-0.014998191116768644,0.009158752705334616,0.004989450145896079
0,V01→V02,V01,V02,full_vs_condition0,condition0,NoCond,D2-007,0.006809475317374969,1.7364162059306172,0.03326865900956577,0.006809475317374969,-0.0063130390362360345,-0.03972576343598058,0.04295427522700815
0,V01→V02,V01,V02,full_vs_condition0,condition0,NoCond,D2-008,0.02708494830496455,6.90666181776596,0.029924812745683052,0.02708494830496455,0.028289396189102506,-0.015425990050544555,-0.02542836399001329
0,V01→V02,V01,V02,full_vs_condition0,condition0,NoCond,D2-009,0.016819229166881722,4.288903437554839,0.016819229166881722,-0.002466255543278728,0.03678629430485708,0.048102909078200695,-0.023045778566715747
0,V01→V02,V01,V02,full_vs_condition0,condition0,NoCond,D2-010,0.027988907534117813,7.137171421200042,0.05393338944835989,-0.006417537290675984,0.027988907534117813,0.04050136459808723,-0.018796650364118456
0,V01→V02,V01,V02,full_vs_condition0,condition0,NoCond,D2-011,0.02081375796761778,5.307508281742534,0.022844651920927883,0.020479406385372073,0.02081375796761778,-0.049370193750494035,0.06248396707491742
0,V01→V02,V01,V02,full_vs_condition0,condition0,NoCond,D2-012,0.0038612279908877,0.9846131376763635,0.04044796573988935,0.030535695995105056,-0.028238058460096915,-0.04404576274678637,0.0038612279908877
0,V01→V02,V01,V02,full_vs_condition0,condition0,NoCond,D2-013,0.02040741726374018,5.2038914022537455,0.02040741726374018,0.024670536239814522,-0.0047152170863671294,0.023302959660306932,-0.02601887370085615
0,V01→V02,V01,V02,full_vs_condition0,condition0,NoCond,D2-014,0.02334107219108511,5.951973408726703,0.0945289612171196,-0.03901242899398011,0.027590591815255944,0.02334107219108511,0.002258364111185074
0,V01→V02,V01,V02,full_vs_condition0,condition0,NoCond,D2-015,0.008820356814949595,2.2491909878121468,0.0012851824914967558,0.0018975998516436027,0.01578271416602313,0.008820356814949595,0.015248855396553324
0,V01→V02,V01,V02,full_vs_condition0,condition0,NoCond,D2-016,0.0018590267119093506,0.4740518115368844,-0.007224185476577799,0.0038889945779808366,-0.003912315983708503,0.002845960956664728,0.0018590267119093506
0,V01→V02,V01,V02,full_vs_condition0,condition0,NoCond,D2-017,0.03197253483628473,8.152996383252606,0.028829613848338043,-0.022638585359331165,0.03197253483628473,0.03240647935678087,0.05166081753042007
0,V01→V02,V01,V02,full_vs_condition0,condition0,NoCond,D2-018,-0.0062139539255036125,-1.584558251003421,-0.03489733542870692,-0.014119273070434132,0.007024713914201702,0.026025220911686464,-0.0062139539255036125
0,V01→V02,V01,V02,full_vs_condition0,condition0,NoCond,D2-019,-0.030295244659538603,-7.725287388182344,-0.04345482960343362,0.02425167102504658,-0.030295244659538603,-0.018734260289757332,-0.050958380999940406
0,V01→V02,V01,V02,full_vs_condition0,condition0,NoCond,D2-020,-0.02024372396808044,-5.162149611860512,-0.0492672370929344,0.0537887030810702,-0.04799119887106559,-0.020056182189899352,-0.02024372396808044
0,V01→V02,V01,V02,full_vs_condition0,condition0,NoCond,D2-021,0.007643870608780967,1.9491870052391467,0.016226996016758727,-0.015108516940506578,0.007643870608780967,0.011717687451070352,-0.005598180516753148
0,V01→V02,V01,V02,full_vs_condition0,condition0,NoCond,D2-022,-0.001611162758903717,-0.4108465035204478,-0.007256326484091469,0.0011302463618325653,0.03167556971311569,-0.015256826156451353,-0.001611162758903717
0,V01→V02,V01,V02,full_vs_condition0,condition0,NoCond,D2-023,0.020675642877562433,5.2722889337784204,0.036935386017092287,0.0036455425951215925,0.033067814623698205,-0.004212387351908237,0.020675642877562433
0,V01→V02,V01,V02,full_vs_condition0,condition0,NoCond,D2-024,-0.021723840829162372,-5.539579411436405,0.006663505076652476,0.020441772416234016,-0.04175508350488685,-0.021723840829162372,-0.022004706252898493
0,V01→V02,V01,V02,full_vs_condition0,condition0,NoCond,D2-025,-0.00019383459698918415,-0.04942782223224196,0.010559463666545033,0.03992284551944608,-0.00019383459698918415,-0.006961096345988765,-0.02526369749331006
0,V01→V02,V01,V02,full_vs_condition0,condition0,NoCond,D2-026,-0.005446872225514154,-1.3889524175061094,-0.0057232274501411995,0.01533605224556392,-0.005446872225514154,-0.03206269045670826,0.0022610510940904993
0,V01→V02,V01,V02,full_vs_condition0,condition0,NoCond,D2-027,0.010651635843767715,2.7161671401607674,0.05001603484784489,-0.006009525565243257,0.023175930259404343,-0.004299141624301839,0.010651635843767715
0,V01→V02,V01,V02,full_vs_condition0,condition0,NoCond,D2-028,0.035238382143852,8.98578744668226,0.07195273404702163,0.035238382143852,0.006097752409867763,0.04740163301810235,0.01581753073976594
