dataset_id,metric_id,analysis_status,support_threshold_texels,comparison_id,comparator_id,identity_token,retained_pair_count,identity_effect,identity_effect_8bit_rgb,identity_relative_effect,identity_relative_effect_percent,seed_2026080447,seed_2026080448,seed_2026080449,seed_2026080450,seed_2026080451
D1,hidden_uv_mae,EXPLORATORY_SUPPORT_SENSITIVITY_NO_NEW_TEST,1,F1-MAE-ATTRIBUTION::D1::full_vs_condition0,condition0,D1-I001,8,0.0018835157345704484,0.48029651231546433,0.013792688147099146,1.3792688147099146,0.0018835157345704484,-0.0065221836081116175,0.008483544125941475,0.009401352422601955,-0.0007754388998012784
D1,hidden_uv_mae,EXPLORATORY_SUPPORT_SENSITIVITY_NO_NEW_TEST,1,F1-MAE-ATTRIBUTION::D1::full_vs_condition0,condition0,D1-I002,8,-0.00032397770822079064,-0.08261431559630161,-0.002118073256849079,-0.21180732568490793,-0.00032397770822079064,-0.005913818634494597,-0.00010244762783663541,0.0021302157510367653,-0.007829821010182828
D1,hidden_uv_mae,EXPLORATORY_SUPPORT_SENSITIVITY_NO_NEW_TEST,1,F1-MAE-ATTRIBUTION::D1::full_vs_condition0,condition0,D1-I003,8,0.001746241422662942,0.4452915627790502,0.008066384475505404,0.8066384475505404,-0.0015081269123281005,0.001746241422662942,0.013656158850666691,-0.005549207081397389,0.00684753353758745
D1,hidden_uv_mae,EXPLORATORY_SUPPORT_SENSITIVITY_NO_NEW_TEST,1,F1-MAE-ATTRIBUTION::D1::full_vs_condition0,condition0,D1-I004,8,-0.0028427194747509335,-0.7248934660614881,-0.022044008606339108,-2.204400860633911,-0.0028427194747509335,0.006582188894638109,-0.0069278030561533074,-0.008736825948681234,0.0024254015297938067
D1,hidden_uv_mae,EXPLORATORY_SUPPORT_SENSITIVITY_NO_NEW_TEST,1,F1-MAE-ATTRIBUTION::D1::full_vs_condition0,condition0,D1-I005,8,-0.0022731103983151812,-0.5796431515703713,-0.0184729254174925,-1.84729254174925,-0.0022731103983151812,0.004020798307073928,-0.009476045288777338,-0.0028801496746553717,0.006665475606918339
D1,hidden_uv_mae,EXPLORATORY_SUPPORT_SENSITIVITY_NO_NEW_TEST,1,F1-MAE-ATTRIBUTION::D1::full_vs_condition0,condition0,D1-I006,8,0.0011553207816450417,0.29460679931948563,0.007046305487755796,0.7046305487755796,-0.0017507655524133386,0.005415063097867823,0.0030870391784516837,-0.0070694596326669745,0.0011553207816450417
D1,hidden_uv_mae,EXPLORATORY_SUPPORT_SENSITIVITY_NO_NEW_TEST,1,F1-MAE-ATTRIBUTION::D1::full_vs_condition0,condition0,D1-I007,8,-0.0035512009538756634,-0.9055562432382942,-0.02556485068200236,-2.556485068200236,0.0018021805154297132,-0.0038422193450898673,-0.0035512009538756634,-0.009123618206609799,-0.001278371394083308
D1,hidden_uv_mae,EXPLORATORY_SUPPORT_SENSITIVITY_NO_NEW_TEST,1,F1-MAE-ATTRIBUTION::D1::full_vs_condition0,condition0,D1-I008,8,0.00490840908252832,1.2516443160447217,0.029599620097944705,2.9599620097944705,0.003911935358462348,0.0027532274922262706,0.00490840908252832,0.00838083545407707,0.008614211236564528
D1,hidden_uv_mae,EXPLORATORY_SUPPORT_SENSITIVITY_NO_NEW_TEST,1,F1-MAE-ATTRIBUTION::D1::full_vs_condition0,condition0,D1-I009,8,0.0022957936834348686,0.5854273892758914,0.013846134828613367,1.3846134828613366,0.003313580969130092,-0.004202512488741511,0.005499139284005486,0.0022957936834348686,-0.006261639030459537
D1,hidden_uv_mae,EXPLORATORY_SUPPORT_SENSITIVITY_NO_NEW_TEST,1,F1-MAE-ATTRIBUTION::D1::full_vs_condition0,condition0,D1-I010,8,0.0002390149473584513,0.06094881157640508,0.0017704297130305556,0.17704297130305557,-0.014943406055758245,0.002199047695224471,-0.004625771452800902,0.0002390149473584513,0.005376341547407862
D1,hidden_uv_mae,EXPLORATORY_SUPPORT_SENSITIVITY_NO_NEW_TEST,1,F1-MAE-ATTRIBUTION::D1::full_vs_condition0,condition0,D1-I011,6,-0.0035722049747657497,-0.9109122685652662,-0.018209392559308913,-1.8209392559308912,-0.007498371169950044,0.0018797894770341411,-0.005086922086822737,0.002325045421493782,-0.0035722049747657497
D1,hidden_uv_mae,EXPLORATORY_SUPPORT_SENSITIVITY_NO_NEW_TEST,1,F1-MAE-ATTRIBUTION::D1::full_vs_condition0,condition0,D1-I012,4,0.005691434963086189,1.4513159155869784,0.032542479156756766,3.2542479156756765,-0.00040543109514351583,0.0006834538080991576,0.005691434963086189,0.00803500006854277,0.006427553815372064
D1,hidden_uv_mae,EXPLORATORY_SUPPORT_SENSITIVITY_NO_NEW_TEST,1,F1-MAE-ATTRIBUTION::D1::full_vs_condition0,condition0,D1-I013,4,0.010126564447723682,2.582273934169539,0.04864088110356188,4.864088110356188,0.010126564447723682,0.013400091682088833,-0.006280811061748312,0.028001323657459914,-0.018697681315402448
D1,hidden_uv_mae,EXPLORATORY_SUPPORT_SENSITIVITY_NO_NEW_TEST,1,F1-MAE-ATTRIBUTION::D1::full_vs_condition0,condition0,D1-I014,8,0.002065108587094723,0.5266026897091544,0.019563979552775997,1.9563979552775996,0.0010184777154845087,0.002556710345932557,0.003693289602873885,0.002065108587094723,-0.0032534060269053602
D1,hidden_uv_mae,EXPLORATORY_SUPPORT_SENSITIVITY_NO_NEW_TEST,1,F1-MAE-ATTRIBUTION::D1::full_vs_condition0,condition0,D1-I015,8,0.001261756050648169,0.3217477929152831,0.006487405046760233,0.6487405046760233,0.0063107918138419344,0.001261756050648169,-0.010011618266418096,-0.0006409724176462406,0.006009211767797645
