dataset_id,metric_id,support_threshold_texels,identity_token,total_h_valid_pair_count,retained_pair_count,retained_fraction,included_in_identity_effect
D1,hidden_uv_mae,50,D1-I009,8,3,0.375,True
D1,hidden_uv_mae,50,D1-I010,8,6,0.75,True
D1,hidden_uv_mae,50,D1-I011,6,5,0.8333333333333334,True
D1,hidden_uv_mae,50,D1-I012,4,3,0.75,True
D1,hidden_uv_mae,50,D1-I013,4,1,0.25,True
D1,hidden_uv_mae,50,D1-I014,8,5,0.625,True
D1,hidden_uv_mae,50,D1-I015,8,4,0.5,True
D1,hidden_uv_mae,50,D1-I016,8,8,1.0,True
D1,hidden_uv_mae,50,D1-I017,6,3,0.5,True
D1,hidden_uv_mae,50,D1-I018,8,4,0.5,True
D1,hidden_uv_mae,50,D1-I019,8,6,0.75,True
D1,hidden_uv_mae,50,D1-I020,8,6,0.75,True
