source_view,target_view,comparison_id,median_effect,pair_count,identity_count,effect_definition,positive_favors,median_effect_rgb8,ci95_identity_bootstrap_low,ci95_identity_bootstrap_high,positive_identity_count,zero_identity_count,negative_identity_count,analysis_status,input_csv
V03,V02,full_vs_condition0,-4.918116916072246e-05,100,100,comparator_minus_full,FrugalFace3D-Lite,-0.012541198135984227,-0.004511989005958242,0.003715547222963391,50,0,50,EXPLORATORY_NO_SIGNIFICANCE_TEST,robustness/REALY_DIRECTION_EFFECT_SUMMARY.csv
V03,V02,full_vs_b_lite_ft,0.0005839311811054043,100,100,comparator_minus_full,FrugalFace3D-Lite,0.14890245118187811,-0.01277372909859377,0.02187772509124543,50,0,50,EXPLORATORY_NO_SIGNIFICANCE_TEST,robustness/REALY_DIRECTION_EFFECT_SUMMARY.csv
V03,V02,full_vs_freeuv_conserved,0.00939295860965865,100,100,comparator_minus_full,FrugalFace3D-Lite,2.3952044454629555,-0.00431952407595769,0.016614403661525418,56,0,44,EXPLORATORY_NO_SIGNIFICANCE_TEST,robustness/REALY_DIRECTION_EFFECT_SUMMARY.csv
V03,V04,full_vs_condition0,0.002376807081344981,100,100,comparator_minus_full,FrugalFace3D-Lite,0.6060858057429701,0.0010244784255822315,0.004689696721261599,62,0,38,EXPLORATORY_NO_SIGNIFICANCE_TEST,robustness/REALY_DIRECTION_EFFECT_SUMMARY.csv
V03,V04,full_vs_b_lite_ft,0.006581139581992246,100,100,comparator_minus_full,FrugalFace3D-Lite,1.6781905934080226,-0.013933141043202757,0.015616105729761201,55,0,45,EXPLORATORY_NO_SIGNIFICANCE_TEST,robustness/REALY_DIRECTION_EFFECT_SUMMARY.csv
V03,V04,full_vs_freeuv_conserved,0.00824825038531038,100,100,comparator_minus_full,FrugalFace3D-Lite,2.103303848254147,-0.007907997585407639,0.020358777977526193,55,0,45,EXPLORATORY_NO_SIGNIFICANCE_TEST,robustness/REALY_DIRECTION_EFFECT_SUMMARY.csv
V04,V01,full_vs_condition0,-0.006877471261028945,100,100,comparator_minus_full,FrugalFace3D-Lite,-1.753755171562381,-0.010621913190556567,-0.0025416801141855128,34,0,66,EXPLORATORY_NO_SIGNIFICANCE_TEST,robustness/REALY_DIRECTION_EFFECT_SUMMARY.csv
V04,V01,full_vs_b_lite_ft,0.001252240183978695,100,100,comparator_minus_full,FrugalFace3D-Lite,0.31932124691456726,-0.006751946001141151,0.006746278397149891,56,0,44,EXPLORATORY_NO_SIGNIFICANCE_TEST,robustness/REALY_DIRECTION_EFFECT_SUMMARY.csv
V04,V01,full_vs_freeuv_conserved,0.030492703205790853,100,100,comparator_minus_full,FrugalFace3D-Lite,7.775639317476667,0.017543346606768095,0.04460494254371185,74,0,26,EXPLORATORY_NO_SIGNIFICANCE_TEST,robustness/REALY_DIRECTION_EFFECT_SUMMARY.csv
V04,V02,full_vs_condition0,-0.0039037818543049413,100,100,comparator_minus_full,FrugalFace3D-Lite,-0.99546437284776,-0.006478894908889005,-0.00101045829554397,39,0,61,EXPLORATORY_NO_SIGNIFICANCE_TEST,robustness/REALY_DIRECTION_EFFECT_SUMMARY.csv
V04,V02,full_vs_b_lite_ft,0.022223342143190224,100,100,comparator_minus_full,FrugalFace3D-Lite,5.666952246513507,0.013357549767803262,0.03531048319268006,67,0,33,EXPLORATORY_NO_SIGNIFICANCE_TEST,robustness/REALY_DIRECTION_EFFECT_SUMMARY.csv
V04,V02,full_vs_freeuv_conserved,0.07926806785881219,100,100,comparator_minus_full,FrugalFace3D-Lite,20.213357303997107,0.03306445939409913,0.09753232097460164,76,0,24,EXPLORATORY_NO_SIGNIFICANCE_TEST,robustness/REALY_DIRECTION_EFFECT_SUMMARY.csv
V04,V03,full_vs_condition0,-0.008320993718013078,100,100,comparator_minus_full,FrugalFace3D-Lite,-2.121853398093335,-0.01039881537860883,-0.004719656379232912,29,0,71,EXPLORATORY_NO_SIGNIFICANCE_TEST,robustness/REALY_DIRECTION_EFFECT_SUMMARY.csv
V04,V03,full_vs_b_lite_ft,0.007702252907716409,100,100,comparator_minus_full,FrugalFace3D-Lite,1.9640744914676842,0.0011250915648803412,0.014224381450517715,60,0,40,EXPLORATORY_NO_SIGNIFICANCE_TEST,robustness/REALY_DIRECTION_EFFECT_SUMMARY.csv
V04,V03,full_vs_freeuv_conserved,0.03073201869924863,100,100,comparator_minus_full,FrugalFace3D-Lite,7.836664768308401,0.020639819636860346,0.0498049428669719,75,0,25,EXPLORATORY_NO_SIGNIFICANCE_TEST,robustness/REALY_DIRECTION_EFFECT_SUMMARY.csv
